LAP,PILOT,CHANNEL,FREQUENCY,TIME,RECORDED AT
1,Pilot 1 Alex,R2,5695,0:06.351,2018-09-15T14:20:00.119-0500
2,Pilot 1 Alex,R2,5695,0:10.079,2018-09-15T14:20:00.119-0500
3,Pilot 1 Alex,R2,5695,0:06.788,2018-09-15T14:20:00.119-0500
4,Pilot 1 Alex,R2,5695,0:06.192,2018-09-15T14:20:00.119-0500
5,Pilot 1 Alex,R2,5695,1:43.170,2018-09-15T14:20:00.120-0500
6,Pilot 1 Alex,R2,5695,0:06.693,2018-09-15T14:20:05.44-0500
7,Pilot 1 Alex,R2,5695,4:22.786,2018-09-15T14:20:07.476-0500
8,Pilot 1 Alex,R2,5695,0:05.451,2018-09-15T14:20:12.966-0500
9,Pilot 1 Alex,R2,5695,0:06.678,2018-09-15T14:20:19.704-0500
10,Pilot 1 Alex,R2,5695,0:06.475,2018-09-15T14:20:26.52-0500
